id	url	source	notes
1004	https://www.amazon.jobs/en/jobs/10477846/operations-manager	amazon	Amazon.com Services LLC | Operations Manager | Mt Joy, Pennsylvania, USA | posted: 2026-07-17
1005	https://jobs.managementconsulted.com/jobs/549030681-strategy-insights-planning-consultant-launch-strategy-operations	managementconsulted	Zs | Strategy Insights & Planning Consultant – Launch Strategy & Operations | Boston, MA, US
1020	https://job-boards.greenhouse.io/anthropic/jobs/4453091009	anthropic	Anthropic | Strategy & Operations Lead, Enterprise Marketing | San Francisco, CA / New York City, NY | posted: 2026-08-14
1021	https://jobs.ashbyhq.com/notion/f1585b12-8ae1-4807-85e0-800446c46ffc	notion	Notion | Marketing Strategy & Operations Manager | San Francisco, California · New York, New York · New York · United States | posted: 2026-08-13
1022	https://www.amazon.jobs/en/jobs/10502020/operations-manager-waukegan-il	amazon	Amazon.com Services LLC | Operations Manager - Waukegan, IL | Waukegan, Illinois, USA | posted: 2026-08-14
1023	https://www.amazon.jobs/en/jobs/10501857/strategy-operations-lead-generative-ai-innovation-centre-proserve-business-strategy	amazon	Amazon Web Services, Inc. | Strategy & Operations Lead, Generative AI Innovation Centre , ProServe Business Strategy | Seattle, Washington, USA | posted: 2026-08-14
1024	https://www.amazon.jobs/en/jobs/10499957/website-operations-manager-aws-website	amazon	Amazon Web Services, Inc. | Website Operations Manager, AWS Website | Seattle, Washington, USA | posted: 2026-08-12
1025	https://www.amazon.jobs/en/jobs/10498860/workplace-strategy-manager-ai-security-gref-gref-business-partnering	amazon	Amazon.com Services LLC | Workplace Strategy Manager, AI & Security – GREF, GREF Business Partnering | Arlington, Virginia, USA | posted: 2026-08-111026	https://jobs.managementconsulted.com/jobs/579290483-manager-global-cross-border-strategy-operations	managementconsulted	Visa | Manager, Global Cross Border Strategy & Operations | San Francisco, CA, US
1059	https://www.amazon.jobs/en/jobs/10505776/applied-scientist-amazon-supply-chain	pipeline	Amazon Web Services, Inc. | Applied Scientist, Amazon Supply Chain | Seattle, Washington, USA
1071	https://www.amazon.jobs/en/jobs/10505463/solutions-architect-agentic-workspaces-ai	pipeline	Amazon Web Services, Inc. | Solutions Architect — Agentic WorkSpaces AI | Arlington, Virginia, USA
1072	https://www.amazon.jobs/en/jobs/10505559/solutions-architect-wwps-state-and-local-government-higher-education	pipeline	Amazon Web Services, Inc. | Solutions Architect, WWPS, State and Local Government & Higher Education | New York, New York, USA
1073	https://www.amazon.jobs/en/jobs/10504973/security-program-manager-aws	pipeline	Amazon Data Services, Inc. | Security Program Manager, AWS | Hilliard, Ohio, USA
1074	https://www.amazon.jobs/en/jobs/10504180/supply-chain-manager-ii-carrier-services-inbound-procurement	pipeline	Amazon.com Services LLC | Supply Chain Manager II, Carrier Services - Inbound Procurement | Tempe, Arizona, USA
1075	https://www.amazon.jobs/en/jobs/10504315/sap-technical-program-manager-leo-enterprise-technology	pipeline	Amazon Kuiper Manufacturing Enterprises LLC | SAP Technical Program Manager, Leo Enterprise Technology | Arlington, Virginia, USA
1076	https://www.amazon.jobs/en/jobs/10504886/icqa-area-manager-ii	pipeline	Amazon.com Services LLC | ICQA Area Manager II | Richmond, Texas, USA
1077	https://www.amazon.jobs/en/jobs/10505103/manufacturing-supply-chain-tech-lead-manufacturing-supply-chain-center-of-excellence-awsi-automotive-manufacturing	pipeline	Amazon Web Services, Inc. | Manufacturing & Supply Chain Tech Lead, Manufacturing & Supply Chain Center of Excellence, AWSI - Automotive & Manufacturing | Austin, Texas, USA
1078	https://www.amazon.jobs/en/jobs/10503893/procore-administrator-business-analyst-worldwide-grocery-stores-growth-development	pipeline	Amazon.com Services LLC | Procore Administrator, Business Analyst, Worldwide Grocery Stores - Growth & Development | Austin, Texas, USA
1079	https://www.amazon.jobs/en/jobs/10505465/it-support-associate-ops-tech-solutions-ots	pipeline	Amazon.com Services LLC | IT support Associate, Ops Tech Solutions (OTS) | Romeoville, Illinois, USA
1080	https://www.amazon.jobs/en/jobs/10507078/operations-engineer-ges-na-ops-engineering-execution	pipeline	Amazon.com Services LLC | Operations Engineer, GES NA Ops Engineering Execution | Arlington, Virginia, USA
1081	https://www.amazon.jobs/en/jobs/10505965/sales-operations-manager-ii-hub-pickup-and-return-points	pipeline	Amazon.com Services LLC | Sales Operations Manager II, Hub Pickup and Return Points | Bellevue, Washington, USA
1082	https://www.amazon.jobs/en/jobs/10504910/data-analyst-global-tax-services-global-tax-services-data-ops	pipeline	Amazon.com Services LLC | Data Analyst, Global Tax Services, Global Tax Services - Data Ops | Seattle, Washington, USA
1083	https://www.amazon.jobs/en/jobs/10504506/supply-chain-manager-electrical-assemblies	pipeline	Amazon.com Services LLC | Supply Chain Manager, Electrical Assemblies | Austin, Texas, USA
1084	https://www.amazon.jobs/en/jobs/10503734/pr-delivery-consultant-data-worldwide-public-sector-professional-services-health-care-life-sciences	pipeline	Amazon Web Services, Inc. | Pr. Delivery Consultant - Data, Worldwide Public Sector Professional Services, Health Care Life Sciences | Arlington, Virginia, USA
