id	url	source	notes
1001	https://jobs.managementconsulted.com/jobs/541273748-product-strategy-and-operations-specialist-knowledge-and-information	managementconsulted	Google | Product Strategy and Operations Specialist, Knowledge and Information | San Francisco, CA, US
1002	https://jobs.managementconsulted.com/jobs/526639713-strategy-and-operations-lead-gtech-users-and-products	managementconsulted	Google | Strategy and Operations Lead, gTech Users and Products | New York, NY, US
1003	https://www.amazon.jobs/en/jobs/10479962/operations-manager	amazon	Amazon.com Services LLC | Operations Manager | Atlanta, Georgia, USA | posted: 2026-07-21
1004	https://www.amazon.jobs/en/jobs/10477846/operations-manager	amazon	Amazon.com Services LLC | Operations Manager | Mt Joy, Pennsylvania, USA | posted: 2026-07-17
1005	https://jobs.managementconsulted.com/jobs/549030681-strategy-insights-planning-consultant-launch-strategy-operations	managementconsulted	Zs | Strategy Insights & Planning Consultant – Launch Strategy & Operations | Boston, MA, US
1006	https://jobs.ashbyhq.com/notion/00f42dd8-c3b3-45cf-829e-550b675b3dd8	notion	Notion | Mid-Market Solutions Consultant, New York | New York, New York | posted: 2026-07-27
1007	https://jobs.ashbyhq.com/notion/8c7e45c0-85ad-485e-aa6d-4b440d2e0723	notion	Notion | Mid-Market Solutions Consultant, San Francisco | San Francisco, California | posted: 2026-07-27
1008	https://www.amazon.jobs/en/jobs/10488854/web-operations-manager-amazon-leo-amazon-leo	amazon	Amazon Kuiper Commercial Services LLC | Web Operations Manager, Amazon Leo, Amazon Leo | Bellevue, Washington, USA | posted: 2026-07-30
1009	https://jobs.managementconsulted.com/jobs/569381710-strategy-associate-youtube	managementconsulted	Google | Strategy Associate, YouTube | New York, NY, US
1010	https://jobs.managementconsulted.com/jobs/530281314-management-consulting-health-consultant	managementconsulted	Accenture | Management Consulting - Health Consultant | Albany, New York Metropolitan Area, US
1011	https://job-boards.greenhouse.io/anthropic/jobs/4422670009	anthropic	Anthropic | Strategy & Operations, Product Partnerships | San Francisco, CA / New York City, NY | posted: 2026-08-03
1012	https://jobs.managementconsulted.com/jobs/575137803-product-strategy-and-operations-artificial-intelligence-and-infrastructure	managementconsulted	Google | Product Strategy and Operations, Artificial Intelligence and Infrastructure | Seattle, WA, US
1013	https://jobs.managementconsulted.com/jobs/579290483-manager-global-cross-border-strategy-operations	managementconsulted	Visa | Manager, Global Cross Border Strategy & Operations | San Francisco, CA, US
1014	https://jobs.managementconsulted.com/jobs/579290486-strategy-consultant	managementconsulted	IBM | Strategy Consultant | New York, United States, US
1015	https://jobs.managementconsulted.com/jobs/505269827-strategy-insights-planning-associate-consultant-emerging-pharma	managementconsulted	Zs | Strategy Insights & Planning Associate Consultant- Emerging Pharma | Boston, MA, US
1016	https://www.amazon.jobs/en/jobs/10492084/manager-programmatic-solutions-consultants-amazon-ads	amazon	Amazon Advertising LLC | Manager, Programmatic Solutions Consultants, Amazon Ads | New York, New York, USA | posted: 2026-08-04
1017	https://www.amazon.jobs/en/jobs/10492357/programmatic-solutions-consultant-amazon-ads	amazon	Amazon Advertising LLC | Programmatic Solutions Consultant, Amazon Ads | New York, New York, USA | posted: 2026-08-04
1018	https://jobs.managementconsulted.com/jobs/582686001-technology-strategy-manager	managementconsulted	Deloitte | Technology Strategy Manager | Boston, MA, US
1019	https://job-boards.greenhouse.io/anthropic/jobs/4452033009	anthropic	Anthropic | Finance & Strategy Manager, Machines | San Francisco, CA | posted: 2026-08-13
1020	https://job-boards.greenhouse.io/anthropic/jobs/4453091009	anthropic	Anthropic | Strategy & Operations Lead, Enterprise Marketing | San Francisco, CA / New York City, NY | posted: 2026-08-14
1021	https://jobs.ashbyhq.com/notion/f1585b12-8ae1-4807-85e0-800446c46ffc	notion	Notion | Marketing Strategy & Operations Manager | San Francisco, California · New York, New York · New York · United States | posted: 2026-08-13
1022	https://www.amazon.jobs/en/jobs/10502020/operations-manager-waukegan-il	amazon	Amazon.com Services LLC | Operations Manager - Waukegan, IL | Waukegan, Illinois, USA | posted: 2026-08-14
1023	https://www.amazon.jobs/en/jobs/10501857/strategy-operations-lead-generative-ai-innovation-centre-proserve-business-strategy	amazon	Amazon Web Services, Inc. | Strategy & Operations Lead, Generative AI Innovation Centre , ProServe Business Strategy | Seattle, Washington, USA | posted: 2026-08-14
1024	https://www.amazon.jobs/en/jobs/10499957/website-operations-manager-aws-website	amazon	Amazon Web Services, Inc. | Website Operations Manager, AWS Website | Seattle, Washington, USA | posted: 2026-08-12
1025	https://www.amazon.jobs/en/jobs/10498860/workplace-strategy-manager-ai-security-gref-gref-business-partnering	amazon	Amazon.com Services LLC | Workplace Strategy Manager, AI & Security – GREF, GREF Business Partnering | Arlington, Virginia, USA | posted: 2026-08-11
