id	url	source	notes
9000	https://websearch.placeholder	websearch	McKinsey & Company | site:mckinsey.com/careers "Business Analyst" OR "Junior Associate" 2026 | https://www.mckinsey.com/careers/search-jobs
9001	https://websearch.placeholder	websearch	Boston Consulting Group | site:careers.bcg.com "Analyst" OR "Associate Consultant" undergraduate 2026 | https://careers.bcg.com/search-jobs
9002	https://websearch.placeholder	websearch	Bain & Company | site:bain.com/careers "Associate Consultant" OR "Business Analyst" 2026 | https://www.bain.com/careers/find-a-role/
9003	https://websearch.placeholder	websearch	Deloitte | site:apply.deloitte.com "Strategy Analyst" OR "Business Strategy Analyst" OR "Consulting Analyst" 2027 | https://apply.deloitte.com/careers/SearchJobs
9004	https://websearch.placeholder	websearch	Accenture | site:accenture.com/us-en/careers "Strategy" OR "Business Analyst" OR "Operations" entry level | https://www.accenture.com/us-en/careers/jobsearch
9005	https://websearch.placeholder	websearch	L.E.K. Consulting | site:lek.com "Associate" OR "Analyst" 2027 entry level apply | https://www.lek.com/join-lek/apply
9006	https://websearch.placeholder	websearch	AlixPartners | "alixpartners" "Performance and Technology" OR "Analyst" undergraduate 2027 site:alixpartners.com/careers | https://www.alixpartners.com/careers/
9007	https://websearch.placeholder	websearch	Bates White | "bates white" "consulting analyst" OR "summer consultant" undergraduate 2027 | https://www.bateswhite.com/careers.html
9008	https://websearch.placeholder	websearch	Cornerstone Research | site:cornerstone.com/careers "analyst" undergraduate entry level 2027 | https://www.cornerstone.com/careers/
9009	https://websearch.placeholder	websearch	Alvarez & Marsal (A&M CRG) | "alvarez marsal" "associate" OR "analyst" undergraduate entry level 2027 site:alvarezandmarsal.com/careers | https://www.alvarezandmarsal.com/careers
9010	https://websearch.placeholder	websearch	The Bridgespan Group | "bridgespan" "associate consultant" undergraduate 2027 | https://www.bridgespan.org/about-us/careers
9011	https://websearch.placeholder	websearch	OC&C Strategy Consultants | "oc&c" OR "occ strategy" "associate consultant" undergraduate 2027 US | https://www.occstrategy.com/en/careers
9012	https://websearch.placeholder	websearch	ClearView Healthcare Partners | "clearview healthcare" "analyst" undergraduate seniors full-time 2027 | https://www.clearviewhcp.com/careers
9013	https://websearch.placeholder	websearch	Triangle Insights Group | "triangle insights" "strategy analyst" undergraduate entry level 2027 | https://www.triangleinsightsgroup.com/careers
9014	https://websearch.placeholder	websearch	Chartwell | "chartwell" "manufacturing consultant" OR "entry level consultant" undergraduate 2027 | https://www.chartwellic.com/careers
9015	https://websearch.placeholder	websearch	PwC Strategy& | site:pwc.com/us-en/careers "Strategy& Associate" undergraduate class of 2027 | https://www.pwc.com/us/en/careers/campus/programs-and-events/strategy-and-associate.html
9016	https://websearch.placeholder	websearch	Kearney | site:kearney.com/careers "business analyst" OR "associate" undergraduate entry level US 2027 | https://www.kearney.com/careers
9017	https://websearch.placeholder	websearch	Roland Berger | site:rolandberger.com "Analyst" OR "Consultant" OR "Junior Consultant" entry level 2027 undergraduate | https://www.rolandberger.com/en/Career.html
9018	https://websearch.placeholder	websearch	ZS Associates | site:zs.com "Business Analyst" OR "Associate" OR "Consultant" undergraduate 2027 entry level | https://www.zs.com/careers
9019	https://websearch.placeholder	websearch	Parthenon (EY) | site:ey.com "Parthenon" OR "Strategy Associate" OR "Analyst" undergraduate 2027 | https://www.ey.com/en_us/careers/students/ey-parthenon
9020	https://websearch.placeholder	websearch	Monitor (Deloitte) | site:deloitte.com "Monitor" OR "Strategy Analyst" OR "Business Analyst" undergraduate 2027 | https://www2.deloitte.com/us/en/pages/careers/articles/monitor-deloitte-careers.html
9021	https://websearch.placeholder	websearch	Amazon | site:amazon.jobs "Operations Manager" OR "Business Analyst" undergraduate 2026 OR 2027 | https://www.amazon.jobs/en/search
9022	https://websearch.placeholder	websearch	Google | site:careers.google.com "Business Analyst" OR "Strategy & Operations" OR "Program Manager" OR "Associate Product Manager" early career OR APM 2026 OR 2027 | https://careers.google.com
9023	https://websearch.placeholder	websearch	Microsoft | site:careers.microsoft.com "Business Analyst" OR "Operations" OR "Strategy" early career OR rotational 2026 | https://careers.microsoft.com
9024	https://websearch.placeholder	websearch	Meta | site:metacareers.com "Business Analyst" OR "Strategy & Operations" OR "Program Manager" university 2026 | https://www.metacareers.com
9025	https://websearch.placeholder	websearch	Target | site:jobs.target.com "Operations" OR "Analyst" OR "Leadership" intern OR associate 2026 | https://jobs.target.com
9026	https://websearch.placeholder	websearch	Costco | "costco" careers "Analyst" OR "Operations" OR "Buyer" entry level | https://www.costco.com/jobs.html
9027	https://websearch.placeholder	websearch	Goldman Sachs | site:goldmansachs.com/careers "Operations" OR "Strategy" OR "Analyst" undergraduate 2026 | https://www.goldmansachs.com/careers/students/programs
9028	https://websearch.placeholder	websearch	JP Morgan Chase | site:careers.jpmorgan.com "Strategy" OR "Operations Analyst" OR "Business Analyst" undergraduate 2026 | https://careers.jpmorgan.com
9029	https://websearch.placeholder	websearch	Capital One | site:capitalone.com/careers "Strategy" OR "Operations" OR "Business Analyst" OR "Product Manager" OR "Data Analyst" entry level 2026 OR 2027 | https://www.capitalone.com/careers
9030	https://websearch.placeholder	websearch	Bank of America | site:careers.bankofamerica.com "Strategy" OR "Operations" OR "Business Analyst" OR "Analyst" entry level 2026 OR 2027 | https://careers.bankofamerica.com
9031	https://websearch.placeholder	websearch	Citi | site:citi.com/careers "Strategy" OR "Operations" OR "Business Analyst" OR "Analyst" entry level 2026 OR 2027 | https://www.citi.com/careers
9032	https://websearch.placeholder	websearch	Wells Fargo | site:wellsfargo.com/careers "Strategy" OR "Operations" OR "Business Analyst" OR "Analyst" entry level 2026 OR 2027 | https://www.wellsfargo.com/about/careers
9033	https://websearch.placeholder	websearch	Morgan Stanley | site:morganstanley.com/careers "Strategy" OR "Operations" OR "Business Analyst" OR "Analyst" entry level 2026 OR 2027 | https://www.morganstanley.com/careers
