id	url	source	notes
1	https://www.hubspot.com/careers/jobs/7715082?gh_jid=7715082	scheduled-pipeline	HubSpot | Lead Marketer, NAM Upmarket Strategy | prior eval 4.1/5 — report file lost, re-evaluate
2	https://www.amazon.jobs/en/jobs/10505776/applied-scientist-amazon-supply-chain	scheduled-pipeline	Amazon Web Services, Inc. | Applied Scientist, Amazon Supply Chain | prior eval 2.0/5 — report file lost, re-evaluate
3	https://www.amazon.jobs/en/jobs/10505103/manufacturing-supply-chain-tech-lead-manufacturing-supply-chain-center-of-excellence-awsi-automotive-manufacturing	scheduled-pipeline	Amazon Web Services, Inc. | Manufacturing & Supply Chain Tech Lead, Manufacturing & Supply Chain Center of Excellence, AWSI - Automotive & Manufacturing | prior eval N/A — report file lost, re-evaluate
4	https://www.amazon.jobs/en/jobs/10504954/business-operations-manager-enterprise-support-strategy-operations-esso	scheduled-pipeline	Amazon Web Services, Inc. | Business Operations Manager, Enterprise Support Strategy & Operations (ESSO) | prior eval N/A — report file lost, re-evaluate
5	https://jobs.ashbyhq.com/notion/7ec83090-7c5b-4691-bf20-e11e892cede1	scheduled-pipeline	Notion | Technical Program Manager, Finance Systems & Compliance | San Francisco, California
6	https://www.amazon.jobs/en/jobs/10515905/cluster-operations-leader-adc-data-center-ops	scheduled-pipeline	Amazon Data Services, Inc. | Cluster Operations Leader, ADC Data Center Ops | Culpeper, Virginia, USA
7	https://www.amazon.jobs/en/jobs/10515438/solutions-architect-aerospace-and-satellite-solutions-aws-aerospace-satellite	scheduled-pipeline	Amazon Web Services, Inc. | Solutions Architect - Aerospace and Satellite Solutions, AWS Aerospace & Satellite | Chicago, Illinois, USA
8	https://www.amazon.jobs/en/jobs/10512927/finance-manager-gref-portfolio-strategy-gref-fp-a	scheduled-pipeline	Amazon.com Services LLC | Finance Manager, GREF Portfolio Strategy, GREF FP&A | Arlington, Virginia, USA
9	https://www.amazon.jobs/en/jobs/10516317/software-development-engineer-infrastructure-supply-chain-dcn-dcrp	scheduled-pipeline	Amazon Web Services, Inc. | Software Development Engineer, Infrastructure Supply Chain DCN & DCRP | Seattle, Washington, USA
10	https://job-boards.greenhouse.io/anthropic/jobs/5406106008	scheduled-pipeline	Anthropic | Product Manager, Growth | San Francisco, CA / New York City, NY / Seattle, WA
11	https://job-boards.greenhouse.io/podium81/jobs/8164371	scheduled-pipeline	Podium | Product Manager - AI | Lehi, Utah
12	https://boards.greenhouse.io/figma/jobs/6135395004?gh_jid=6135395004	scheduled-pipeline	Figma | Design Program Manager, Context Platform | San Francisco, CA • New York, NY • United States
13	https://boards.greenhouse.io/figma/jobs/6173031004?gh_jid=6173031004	scheduled-pipeline	Figma | Immigration Program Manager | San Francisco, CA • New York, NY • United States
14	https://www.amazon.jobs/en/jobs/10520499/program-manager-ii-amazon-customer-excellence-system-aces-global-logistics-amazon-customer-excellence-system-aces-global-logistics	scheduled-pipeline	Amazon.com Services LLC | Program Manager II, Amazon Customer Excellence System (ACES), Global Logistics, Amazon Customer Excellence System (ACES), Global Logistics | Bellevue, Washington, USA
15	https://www.amazon.jobs/en/jobs/10519886/pathways-operations-manager	scheduled-pipeline	Amazon.com Services LLC | Pathways Operations Manager | Fall River, Massachusetts, USA
16	https://www.amazon.jobs/en/jobs/10517802/business-analyst-amzl-utr-ppt	scheduled-pipeline	Amazon.com Services LLC | Business Analyst, AMZL UTR PPT | Nashville, Tennessee, USA
17	https://www.amazon.jobs/en/jobs/10518028/decarbonization-supply-chain-manager-ii-gpo-environment	scheduled-pipeline	Amazon.com Services LLC | Decarbonization Supply Chain Manager II, GPO Environment | Arlington, Virginia, USA
18	https://www.amazon.jobs/en/jobs/10520803/specialist-strategy-sales-operations-lead-specialist-strategy-sales-operations	scheduled-pipeline	Amazon Web Services, Inc. | Specialist Strategy & Sales Operations Lead, Specialist Strategy & Sales Operations | Seattle, Washington, USA
19	https://www.amazon.jobs/en/jobs/10518364/delivery-consultant-ai-ml-professional-services-aws-industries	scheduled-pipeline	Amazon Web Services, Inc. | Delivery Consultant - AI/ML, Professional Services - AWS Industries | Dallas, Texas, USA
